age,height_cm,weight_kg,gender,blood_type,exercise_frequency,smoking_status,city
28.0,175.0,72.0,1,0,3,2,46
35.0,162.0,65.0,0,7,3,2,37
36.0,180.0,88.0,1,4,2,1,11
42.0,169.0,58.0,0,3,1,2,27
31.0,168.0,75.0,1,0,3,2,51
36.0,155.0,52.0,1,6,0,2,50
29.0,169.0,80.0,1,1,2,0,57
38.0,159.0,61.0,0,5,3,1,58
45.0,177.0,71.5,1,6,1,2,18
33.0,164.0,59.0,0,0,3,2,60
27.0,182.0,92.0,1,2,0,0,5
52.0,158.0,68.0,0,7,3,2,30
36.0,175.0,81.0,1,4,2,1,23
36.0,161.0,64.0,0,1,3,2,16
41.0,179.0,87.0,1,6,1,0,10
29.0,169.0,55.0,0,3,3,2,59
34.0,176.0,78.0,1,0,0,2,28
48.0,165.0,71.5,0,5,2,1,62
31.0,172.0,74.0,1,6,3,2,19
37.0,160.0,62.0,0,1,3,0,68
44.0,181.0,89.0,1,2,1,2,8
26.0,169.0,57.0,0,7,3,2,44
39.0,166.0,83.0,1,4,2,1,20
33.0,169.0,66.0,0,6,3,2,54
50.0,174.0,91.0,1,0,1,0,34
28.0,157.0,54.0,0,6,3,2,39
35.0,178.0,79.0,1,3,0,2,7
42.0,163.0,63.0,0,5,3,1,42
30.0,169.0,76.0,1,1,2,2,0
46.0,170.0,70.0,0,6,3,0,66
32.0,177.0,85.0,1,2,3,2,24
36.0,159.0,60.0,0,4,1,2,56
38.0,175.0,82.0,1,0,3,1,32
29.0,162.0,56.0,0,7,2,2,40
43.0,169.0,90.0,1,3,3,0,4
36.0,168.0,64.0,0,5,0,2,15
31.0,180.0,77.0,1,0,3,2,55
49.0,164.0,69.0,0,6,2,1,41
27.0,176.0,73.0,1,2,3,2,48
34.0,161.0,58.0,0,4,1,0,43
36.0,179.0,86.0,1,1,3,2,67
40.0,165.0,65.0,0,6,3,2,14
33.0,169.0,80.0,1,3,0,1,69
47.0,163.0,67.0,0,5,2,2,3
28.0,174.0,75.0,1,0,3,0,45
36.0,169.0,53.0,0,7,3,2,6
37.0,171.0,84.0,1,2,2,2,65
44.0,160.0,62.0,0,4,3,1,26
30.0,178.0,78.0,1,1,1,2,1
51.0,166.0,71.0,0,6,3,0,61
36.0,169.0,88.0,1,2,3,2,49
29.0,167.0,59.0,0,6,2,2,63
45.0,173.0,82.0,1,6,3,1,52
38.0,169.0,64.0,1,7,1,2,2
42.0,169.0,77.0,1,2,0,0,13
31.0,158.0,55.0,0,0,3,2,35
36.0,176.0,85.0,1,4,2,1,64
40.0,162.0,61.0,0,6,3,2,17
35.0,169.0,79.0,1,1,1,0,25
48.0,165.0,68.0,0,4,3,2,36
33.0,180.0,83.0,1,6,2,2,9
44.0,171.0,66.0,0,6,3,1,53
29.0,174.0,75.0,1,6,0,2,47
37.0,169.0,58.0,0,3,2,0,29
41.0,169.0,81.0,1,2,3,2,12
36.0,160.0,63.0,1,5,1,2,22
34.0,177.0,78.0,1,7,3,1,31
46.0,164.0,67.0,0,6,2,2,21
30.0,172.0,74.0,1,0,3,0,33
39.0,169.0,62.0,0,6,1,2,38
